job_role,required_skills,skill_category
Data Scientist,"python,machine learning,statistics,pandas,numpy,scikit-learn,sql,data visualization,deep learning,tensorflow","ml,data,programming"
Machine Learning Engineer,"python,machine learning,tensorflow,pytorch,mlops,docker,kubernetes,ci/cd,model deployment,api development","ml,devops,programming"
Data Analyst,"sql,excel,tableau,power bi,python,statistics,data visualization,reporting,pandas","data,analytics,programming"
Backend Developer,"python,django,flask,fastapi,sql,postgresql,rest api,docker,git,linux","backend,programming,devops"
Frontend Developer,"javascript,react,html,css,typescript,redux,rest api,git,responsive design,webpack","frontend,programming"
Full Stack Developer,"javascript,react,python,django,sql,rest api,docker,git,html,css","frontend,backend,programming"
DevOps Engineer,"docker,kubernetes,ci/cd,jenkins,aws,linux,bash,terraform,ansible,monitoring","devops,cloud"
Cloud Engineer,"aws,azure,gcp,terraform,docker,kubernetes,networking,security,linux,python","cloud,devops,programming"
NLP Engineer,"python,nlp,spacy,nltk,transformers,bert,text processing,machine learning,deep learning,pytorch","ml,nlp,programming"
Computer Vision Engineer,"python,opencv,pytorch,tensorflow,deep learning,cnn,image processing,numpy,machine learning,cuda","ml,cv,programming"
Data Engineer,"python,spark,hadoop,sql,airflow,kafka,etl,aws,data warehousing,postgresql","data,programming,cloud"
Android Developer,"java,kotlin,android sdk,rest api,sqlite,git,mvvm,jetpack compose,firebase,xml","mobile,programming"
iOS Developer,"swift,objective-c,ios sdk,xcode,rest api,git,mvvm,swiftui,firebase,core data","mobile,programming"
Cybersecurity Analyst,"networking,linux,penetration testing,python,firewalls,siem,vulnerability assessment,incident response,cryptography,bash","security,networking"
Product Manager,"agile,scrum,jira,roadmapping,stakeholder management,data analysis,sql,communication,user research,product strategy","management,analytics"
UI/UX Designer,"figma,sketch,adobe xd,user research,wireframing,prototyping,html,css,usability testing,design thinking","design,frontend"
Blockchain Developer,"solidity,ethereum,web3,javascript,smart contracts,cryptography,python,truffle,hardhat,defi","blockchain,programming"
QA Engineer,"selenium,python,jest,testing,ci/cd,api testing,postman,git,agile,test automation","testing,programming"
Business Intelligence Analyst,"sql,tableau,power bi,excel,data modeling,etl,statistics,reporting,python,business analysis","analytics,data"
Research Scientist,"python,machine learning,deep learning,research,tensorflow,pytorch,statistics,latex,academic writing,experiment design","ml,research"
